
duration_max: 1000000 ; a: ponton ; b: est ; spd: 3000
time: 34339 ; d_psi: 69 ; rpm_l: 2970 ; rpm_r: -2850 ; rpm_lb: 2122 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 34903 ; d_psi: 9 ; rpm_l: 2520 ; rpm_r: -3000 ; rpm_lb: 2879 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 35407 ; d_psi: 2 ; rpm_l: 2550 ; rpm_r: -2940 ; rpm_lb: 2959 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 35956 ; d_psi: -1 ; rpm_l: 2670 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2984 ; th_l: 18 ; th_r: 20
time: 36506 ; d_psi: -9 ; rpm_l: 2880 ; rpm_r: -3000 ; rpm_lb: 3000 ; rpm_rb: 2884 ; th_l: 18 ; th_r: 20
time: 37006 ; d_psi: -13 ; rpm_l: 2970 ; rpm_r: -2910 ; rpm_lb: 3000 ; rpm_rb: 2839 ; th_l: 18 ; th_r: 20
time: 37508 ; d_psi: -12 ; rpm_l: 3030 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2845 ; th_l: 18 ; th_r: 20
time: 38019 ; d_psi: -23 ; rpm_l: 3060 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2702 ; th_l: 18 ; th_r: 20
time: 38546 ; d_psi: -16 ; rpm_l: 3120 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 2799 ; th_l: 18 ; th_r: 20
time: 39051 ; d_psi: -15 ; rpm_l: 3150 ; rpm_r: -2730 ; rpm_lb: 3000 ; rpm_rb: 2803 ; th_l: 18 ; th_r: 20
time: 39626 ; d_psi: -13 ; rpm_l: 3000 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 2824 ; th_l: 18 ; th_r: 20
time: 40134 ; d_psi: -7 ; rpm_l: 3000 ; rpm_r: -2760 ; rpm_lb: 3000 ; rpm_rb: 2909 ; th_l: 18 ; th_r: 20
time: 40696 ; d_psi: 35 ; rpm_l: 3060 ; rpm_r: -2790 ; rpm_lb: 2560 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 41199 ; d_psi: -8 ; rpm_l: 2790 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2898 ; th_l: 18 ; th_r: 20
time: 41769 ; d_psi: 46 ; rpm_l: 2790 ; rpm_r: -2940 ; rpm_lb: 2416 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 42278 ; d_psi: 15 ; rpm_l: 2580 ; rpm_r: -3180 ; rpm_lb: 2807 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 42842 ; d_psi: 21 ; rpm_l: 2520 ; rpm_r: -3000 ; rpm_lb: 2728 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 43346 ; d_psi: -5 ; rpm_l: 2580 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2932 ; th_l: 18 ; th_r: 20
time: 43913 ; d_psi: 7 ; rpm_l: 2790 ; rpm_r: -2940 ; rpm_lb: 2897 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20

duration_max: 1000000 ; a: est ; b: nord ; spd: 3000
time: 0 ; d_psi: 98 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 1756 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 501 ; d_psi: 84 ; rpm_l: 2580 ; rpm_r: -3390 ; rpm_lb: 1925 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 1005 ; d_psi: 106 ; rpm_l: 2790 ; rpm_r: -3870 ; rpm_lb: 1645 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 1576 ; d_psi: 85 ; rpm_l: 2460 ; rpm_r: -4350 ; rpm_lb: 1904 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 2084 ; d_psi: 96 ; rpm_l: 2220 ; rpm_r: -3930 ; rpm_lb: 1758 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 2630 ; d_psi: 79 ; rpm_l: 1980 ; rpm_r: -3540 ; rpm_lb: 1955 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 3133 ; d_psi: 41 ; rpm_l: 1680 ; rpm_r: -3030 ; rpm_lb: 2432 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 3637 ; d_psi: 56 ; rpm_l: 1860 ; rpm_r: -2700 ; rpm_lb: 2240 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 4139 ; d_psi: 26 ; rpm_l: 2070 ; rpm_r: -2550 ; rpm_lb: 2616 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 4710 ; d_psi: 67 ; rpm_l: 2310 ; rpm_r: -2730 ; rpm_lb: 2088 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 5220 ; d_psi: 19 ; rpm_l: 2340 ; rpm_r: -2730 ; rpm_lb: 2688 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 5773 ; d_psi: 40 ; rpm_l: 2550 ; rpm_r: -2820 ; rpm_lb: 2430 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 6278 ; d_psi: 37 ; rpm_l: 2670 ; rpm_r: -3030 ; rpm_lb: 2456 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 6780 ; d_psi: 16 ; rpm_l: 2640 ; rpm_r: -3150 ; rpm_lb: 2727 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 7285 ; d_psi: 24 ; rpm_l: 2730 ; rpm_r: -3030 ; rpm_lb: 2625 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 7847 ; d_psi: 14 ; rpm_l: 2790 ; rpm_r: -3120 ; rpm_lb: 2749 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 8351 ; d_psi: 8 ; rpm_l: 2850 ; rpm_r: -3030 ; rpm_lb: 2813 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 8904 ; d_psi: 20 ; rpm_l: 2850 ; rpm_r: -3000 ; rpm_lb: 2670 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 9452 ; d_psi: -20 ; rpm_l: 2880 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2818 ; th_l: 20 ; th_r: 21
time: 9963 ; d_psi: 23 ; rpm_l: 2940 ; rpm_r: -2970 ; rpm_lb: 2633 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 10493 ; d_psi: 22 ; rpm_l: 2790 ; rpm_r: -3000 ; rpm_lb: 2636 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 10998 ; d_psi: 17 ; rpm_l: 2670 ; rpm_r: -2880 ; rpm_lb: 2700 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 11570 ; d_psi: -2 ; rpm_l: 2670 ; rpm_r: -2970 ; rpm_lb: 2948 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
