
New mission : Follow LINE from est to nord - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
7917 0 0 0 0 0 0 -37 3060 -2940 3000 2644 19 21 
8485 0 0 0 0 0 0 -17 2940 -2550 3000 2885 19 21 
8987 0 0 0 0 0 0 -46 3060 -2850 3000 2511 19 21 
9524 0 0 0 0 0 0 -27 3060 -2610 3000 2738 19 21 
10032 0 0 0 0 0 0 -43 2910 -2730 3000 2529 19 21 
10533 0 0 0 0 0 0 -34 3090 -2490 3000 2632 19 21 
11041 0 0 0 0 0 0 -27 2940 -2640 3000 2711 19 21 
11610 0 0 0 0 0 0 -26 3000 -2730 3000 2716 19 21 
12110 0 0 0 0 0 0 22 3000 -2730 2654 3000 19 21 
12663 0 0 0 0 0 0 -26 2520 -3090 3000 2715 19 21 
13170 0 0 0 0 0 0 -2 3120 -2670 2973 3000 19 21 
13672 0 0 0 0 0 0 -41 3060 -2940 3000 2526 19 21 
14178 0 0 0 0 0 0 -29 2910 -2550 3000 2667 19 21 
14745 0 0 0 0 0 0 -34 3090 -2670 3000 2593 19 21 
15248 0 0 0 0 0 0 -55 2940 -2520 3000 2316 19 21 
15819 0 0 0 0 0 0 -46 3030 -2280 3000 2418 19 21 
16325 0 0 0 0 0 0 -33 3030 -2430 3000 2572 19 21 
16872 0 0 0 0 0 0 -54 2910 -2610 3000 2297 19 21 
17381 0 0 0 0 0 0 -42 3000 -2310 3000 2431 19 21 
17924 0 0 0 0 0 0 -29 2970 -2460 3000 2589 19 21 
18475 0 0 0 0 0 0 -4 3060 -2520 3000 2901 19 21 
18975 0 0 0 0 0 0 -31 2970 -2910 3000 2554 19 21 
19476 0 0 0 0 0 0 -32 3030 -2580 3000 2533 19 21 
19977 0 0 0 0 0 0 -61 3060 -2550 3000 2164 19 21 
20484 0 0 0 0 0 0 -34 2910 -2070 3000 2485 19 21 
20984 0 0 0 0 0 0 -55 2940 -2610 3000 2214 19 21 
21515 0 0 0 0 0 0 -20 3240 -2160 3000 2640 19 21 
22021 0 0 0 0 0 0 -35 2790 -2580 3000 2447 19 21 
22595 0 0 0 0 0 0 -30 3090 -2520 3000 2495 19 21 
23099 0 0 0 0 0 0 -21 2970 -2490 3000 2606 19 21 
23601 0 0 0 0 0 0 -45 3000 -2550 3000 2291 19 21 
24105 0 0 0 0 0 0 -43 3090 -2340 3000 2309 19 21 
24662 0 0 0 0 0 0 -11 2880 -2250 3000 2703 19 21 
25162 0 0 0 0 0 0 -11 3000 -2790 3000 2711 19 21 
25664 0 0 0 0 0 0 -4 3000 -2760 3000 2797 19 21 
26164 0 0 0 0 0 0 -12 2940 -2760 3000 2687 19 21 
26737 0 0 0 0 0 0 -14 3090 -2730 3000 2656 19 21 
27244 0 0 0 0 0 0 -7 3030 -2640 3000 2742 19 21 
27807 0 0 0 0 0 0 2 2940 -2730 3000 2870 19 21 

New mission : Follow LINE from est to ouest - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 0 0 0 -105 0 0 3000 1654 27 27 
502 0 0 0 0 0 0 -105 2790 -2730 3000 1626 27 27 
1055 0 0 0 0 0 0 -99 3390 -2100 3000 1674 27 27 
1561 0 0 0 0 0 0 -80 3030 -1740 3000 1893 27 27 
2067 0 0 0 0 0 0 -98 2910 -1830 3000 1640 27 27 
2630 0 0 0 0 0 0 -75 3090 -1650 3000 1916 27 27 
3131 0 0 0 0 0 0 -52 2970 -1920 3000 2183 27 27 
3636 0 0 0 0 0 0 -89 2970 -2220 3000 1706 27 27 
4139 0 0 0 0 0 0 -91 3060 -1710 3000 1662 27 27 
4676 0 0 0 0 0 0 -40 2970 -1620 3000 2277 27 27 
5185 0 0 0 0 0 0 -18 2910 -2250 3000 2550 27 27 
5754 0 0 0 0 0 0 -38 3120 -2700 3000 2299 27 27 
6255 0 0 0 0 0 0 -11 3000 -2280 3000 2629 27 27 
6760 0 0 0 0 0 0 -12 2910 -2640 3000 2615 27 27 
7261 0 0 0 0 0 0 -25 3060 -2670 3000 2449 27 27 
7823 0 0 0 0 0 0 14 2940 -2460 3000 2945 27 27 
8329 0 0 0 0 0 0 28 3060 -2940 2875 3000 27 27 
