
duration: 50 ; psi_bar: 90 ; spd: 3000
time: 43614 ; d_psi: -44 ; rpm_l: 2490 ; rpm_r: -3090 ; rpm_lb: 3000 ; rpm_rb: 2436 ; th_l: 22 ; th_r: 24
time: 44125 ; d_psi: -17 ; rpm_l: 2910 ; rpm_r: -2760 ; rpm_lb: 3000 ; rpm_rb: 2770 ; th_l: 22 ; th_r: 24
time: 44679 ; d_psi: -16 ; rpm_l: 3060 ; rpm_r: -2550 ; rpm_lb: 3000 ; rpm_rb: 2785 ; th_l: 22 ; th_r: 24
time: 45188 ; d_psi: -88 ; rpm_l: 3150 ; rpm_r: -2580 ; rpm_lb: 3000 ; rpm_rb: 1876 ; th_l: 22 ; th_r: 24
time: 45724 ; d_psi: 15 ; rpm_l: 3240 ; rpm_r: -2160 ; rpm_lb: 2824 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 46280 ; d_psi: 34 ; rpm_l: 3060 ; rpm_r: -2340 ; rpm_lb: 2578 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 46810 ; d_psi: 161 ; rpm_l: 2730 ; rpm_r: -2700 ; rpm_lb: 974 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 47326 ; d_psi: 4 ; rpm_l: 1650 ; rpm_r: -3030 ; rpm_lb: 2941 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 47827 ; d_psi: 16 ; rpm_l: 1890 ; rpm_r: -3090 ; rpm_lb: 2785 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 48402 ; d_psi: 4 ; rpm_l: 2250 ; rpm_r: -3210 ; rpm_lb: 2942 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 48905 ; d_psi: -30 ; rpm_l: 1620 ; rpm_r: -2160 ; rpm_lb: 3000 ; rpm_rb: 2625 ; th_l: 22 ; th_r: 24
time: 49464 ; d_psi: -28 ; rpm_l: 3480 ; rpm_r: -3405 ; rpm_lb: 3000 ; rpm_rb: 2649 ; th_l: 22 ; th_r: 24
time: 49971 ; d_psi: -48 ; rpm_l: 3780 ; rpm_r: -3315 ; rpm_lb: 3000 ; rpm_rb: 2393 ; th_l: 22 ; th_r: 24

duration_max: 100 ; a: ouest ; b: ponton ; spd: 3000
time: 0 ; d_psi: -58 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 3000 ; rpm_rb: 2266 ; th_l: 23 ; th_r: 25
time: 502 ; d_psi: -52 ; rpm_l: 3480 ; rpm_r: -3240 ; rpm_lb: 3000 ; rpm_rb: 2337 ; th_l: 23 ; th_r: 25
time: 1007 ; d_psi: -167 ; rpm_l: 3780 ; rpm_r: -3240 ; rpm_lb: 3000 ; rpm_rb: 885 ; th_l: 23 ; th_r: 25
time: 1524 ; d_psi: -30 ; rpm_l: 3840 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 2592 ; th_l: 23 ; th_r: 25
time: 2031 ; d_psi: -42 ; rpm_l: 3840 ; rpm_r: -2280 ; rpm_lb: 3000 ; rpm_rb: 2439 ; th_l: 23 ; th_r: 25
time: 2537 ; d_psi: -16 ; rpm_l: 3570 ; rpm_r: -2220 ; rpm_lb: 3000 ; rpm_rb: 2762 ; th_l: 23 ; th_r: 25
time: 3042 ; d_psi: -15 ; rpm_l: 3240 ; rpm_r: -2400 ; rpm_lb: 3000 ; rpm_rb: 2773 ; th_l: 23 ; th_r: 25
time: 3550 ; d_psi: -51 ; rpm_l: 3000 ; rpm_r: -2580 ; rpm_lb: 3000 ; rpm_rb: 2319 ; th_l: 23 ; th_r: 25
time: 4053 ; d_psi: -22 ; rpm_l: 2880 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 2683 ; th_l: 23 ; th_r: 25
time: 4555 ; d_psi: -25 ; rpm_l: 2730 ; rpm_r: -2580 ; rpm_lb: 3000 ; rpm_rb: 2635 ; th_l: 23 ; th_r: 25
time: 5069 ; d_psi: -26 ; rpm_l: 2850 ; rpm_r: -2640 ; rpm_lb: 3000 ; rpm_rb: 2630 ; th_l: 23 ; th_r: 25
time: 5579 ; d_psi: -61 ; rpm_l: 2880 ; rpm_r: -2670 ; rpm_lb: 3000 ; rpm_rb: 2182 ; th_l: 23 ; th_r: 25
time: 6079 ; d_psi: 1 ; rpm_l: 2970 ; rpm_r: -2490 ; rpm_lb: 3000 ; rpm_rb: 2976 ; th_l: 23 ; th_r: 25
time: 6590 ; d_psi: 8 ; rpm_l: 2880 ; rpm_r: -2670 ; rpm_lb: 2940 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 7092 ; d_psi: -18 ; rpm_l: 2970 ; rpm_r: -2910 ; rpm_lb: 3000 ; rpm_rb: 2722 ; th_l: 23 ; th_r: 25
time: 7595 ; d_psi: 87 ; rpm_l: 2940 ; rpm_r: -2880 ; rpm_lb: 1953 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 8112 ; d_psi: 26 ; rpm_l: 2490 ; rpm_r: -3240 ; rpm_lb: 2703 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 8624 ; d_psi: 45 ; rpm_l: 2130 ; rpm_r: -3120 ; rpm_lb: 2471 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 9129 ; d_psi: 92 ; rpm_l: 2160 ; rpm_r: -2820 ; rpm_lb: 1872 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 9630 ; d_psi: 81 ; rpm_l: 2160 ; rpm_r: -3330 ; rpm_lb: 1999 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 10141 ; d_psi: 47 ; rpm_l: 1830 ; rpm_r: -2850 ; rpm_lb: 2416 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 10656 ; d_psi: 83 ; rpm_l: 1860 ; rpm_r: -2880 ; rpm_lb: 1960 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 11167 ; d_psi: 119 ; rpm_l: 1920 ; rpm_r: -2970 ; rpm_lb: 1507 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 11702 ; d_psi: 48 ; rpm_l: 1740 ; rpm_r: -3090 ; rpm_lb: 2384 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 12214 ; d_psi: 21 ; rpm_l: 1980 ; rpm_r: -3330 ; rpm_lb: 2720 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 12778 ; d_psi: 111 ; rpm_l: 2430 ; rpm_r: -2970 ; rpm_lb: 1596 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 13297 ; d_psi: 45 ; rpm_l: 2100 ; rpm_r: -2940 ; rpm_lb: 2405 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 13851 ; d_psi: 87 ; rpm_l: 2280 ; rpm_r: -3000 ; rpm_lb: 1875 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 14364 ; d_psi: 17 ; rpm_l: 2100 ; rpm_r: -3060 ; rpm_lb: 2749 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 14915 ; d_psi: 96 ; rpm_l: 2460 ; rpm_r: -3000 ; rpm_lb: 1756 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 15419 ; d_psi: 101 ; rpm_l: 2220 ; rpm_r: -2940 ; rpm_lb: 1689 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
