
New mission : Follow LINE from ponton to eval - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
138640 0 0 0 0 0 0 -10 3120 -2400 3000 2395 20 22 
139142 0 0 0 0 0 0 7 2760 -2460 3000 2625 20 22 
139646 0 0 0 0 0 0 24 3000 -2580 3000 2838 20 22 
140170 0 0 0 0 0 0 -9 3090 -2940 3000 2411 20 22 
140672 0 0 0 0 0 0 -60 3060 -2460 3000 1758 20 22 
141176 0 0 0 0 0 0 -15 2970 -1590 3000 2322 20 22 
141752 0 0 0 0 0 0 -21 3000 -2280 3000 2237 20 22 
142265 0 0 0 0 0 0 0 3000 -2250 3000 2513 20 22 
142788 0 0 0 0 0 0 0 2970 -2640 3000 2496 20 22 
143294 0 0 0 0 0 0 11 3060 -2460 3000 2649 20 22 
143865 0 0 0 0 0 0 -9 2940 -2670 3000 2386 20 22 
144374 0 0 0 0 0 0 5 3000 -2400 3000 2577 20 22 
144927 0 0 0 0 0 0 16 3000 -2520 3000 2713 20 22 
145435 0 0 0 0 0 0 -16 3060 -2790 3000 2300 20 22 
146006 0 0 0 0 0 0 5 2970 -2280 3000 2582 20 22 
146509 0 0 0 0 0 0 20 3030 -2490 3000 2776 20 22 
147079 0 0 0 0 0 0 61 2970 -2910 2704 3000 20 22 
147590 0 0 0 0 0 0 16 2610 -3060 3000 2739 20 22 
148147 0 0 0 0 0 0 54 2940 -2610 2769 3000 20 22 
148652 0 0 0 0 0 0 1 2910 -3060 3000 2573 20 22 
149178 0 0 0 0 0 0 -2 3060 -2580 3000 2512 20 22 
149678 0 0 0 0 0 0 11 2910 -2460 3000 2697 20 22 
150231 0 0 0 0 0 0 -11 3030 -2700 3000 2407 20 22 
150757 0 0 0 0 0 0 0 2970 -2430 3000 2553 20 22 
151269 0 0 0 0 0 0 6 3060 -2490 3000 2636 20 22 
151797 0 0 0 0 0 0 -32 2940 -2670 3000 2136 20 22 
152303 0 0 0 0 0 0 -4 3090 -2100 3000 2478 20 22 
152873 0 0 0 0 0 0 3 2970 -2460 3000 2582 20 22 
153383 0 0 0 0 0 0 -6 2910 -2670 3000 2453 20 22 
153922 0 0 0 0 0 0 16 3210 -2460 3000 2749 20 22 
154430 0 0 0 0 0 0 4 2730 -2790 3000 2596 20 22 
154997 0 0 0 0 0 0 1 3120 -2520 3000 2565 20 22 
155500 0 0 0 0 0 0 -9 3090 -2520 3000 2419 20 22 
156069 0 0 0 0 0 0 -12 3000 -2460 3000 2389 20 22 
156580 0 0 0 0 0 0 11 2820 -2370 3000 2688 20 22 
157137 0 0 0 0 0 0 0 3120 -2760 3000 2530 20 22 
157649 0 0 0 0 0 0 4 2850 -2490 3000 2594 20 22 
158166 0 0 0 0 0 0 8 3180 -2580 3000 2657 20 22 
158746 0 0 0 0 0 0 10 3030 -2700 3000 2677 20 22 
159258 0 0 0 0 0 0 2 2940 -2730 3000 2574 20 22 
159786 0 0 0 0 0 0 17 2910 -2550 3000 2769 20 22 
160292 0 0 0 0 0 0 -5 3030 -2790 3000 2477 20 22 
160860 0 0 0 0 0 0 12 3060 -2430 3000 2705 20 22 
161367 0 0 0 0 0 0 18 3000 -2730 3000 2794 20 22 
161922 0 0 0 0 0 0 40 2940 -2820 2919 3000 20 22 
162430 0 0 0 0 0 0 8 2880 -3030 3000 2676 20 22 
162933 0 0 0 0 0 0 -175 3090 -2550 3000 333 20 22 
163441 0 0 0 0 0 0 35 3120 -1650 3000 2980 20 22 
163995 0 0 0 0 0 0 6 2850 -2520 3000 2616 20 22 
164504 0 0 0 0 0 0 -1 3030 -2670 3000 2517 20 22 
165069 0 0 0 0 0 0 163 2910 -2550 1377 3000 20 22 
165579 0 0 0 0 0 0 0 2040 -2940 3000 2574 20 22 
166133 0 0 0 0 0 0 -10 2970 -2610 3000 2441 20 22 
166644 0 0 0 0 0 0 -11 3030 -2430 3000 2432 20 22 
167172 0 0 0 0 0 0 -35 3060 -2400 3000 2116 20 22 
167755 0 0 0 0 0 0 -3 2940 -2100 3000 2517 20 22 
168268 0 0 0 0 0 0 -19 2940 -2490 3000 2309 20 22 
168790 0 0 0 0 0 0 -24 3120 -2430 3000 2250 20 22 
169296 0 0 0 0 0 0 -14 2880 -2130 3000 2365 20 22 
169796 0 0 0 0 0 0 -41 3000 -2400 3000 2017 20 22 
170301 0 0 0 0 0 0 -73 3030 -2010 3000 1595 20 22 
170867 0 0 0 0 0 0 -2 3165 -1650 3000 2481 20 22 
171377 0 0 0 0 0 0 0 2700 -2370 3000 2521 20 22 
171920 0 0 0 0 0 0 17 3150 -2550 3000 2743 20 22 
172424 0 0 0 0 0 0 5 3060 -2790 3000 2592 20 22 
172929 0 0 0 0 0 0 12 2910 -2580 3000 2684 20 22 
173437 0 0 0 0 0 0 48 2970 -2730 2855 3000 20 22 
174003 0 0 0 0 0 0 59 2880 -2940 2704 3000 20 22 
174506 0 0 0 0 0 0 21 2700 -3150 3000 2826 20 22 
175072 0 0 0 0 0 0 39 3090 -2700 2940 3000 20 22 
175573 0 0 0 0 0 0 17 2790 -2970 3000 2793 20 22 
176078 0 0 0 0 0 0 40 3060 -2970 2913 3000 20 22 
176587 0 0 0 0 0 0 82 2910 -2970 2368 3000 20 22 
177144 0 0 0 0 0 0 21 2100 -3120 3000 2879 20 22 
177647 0 0 0 0 0 0 11 3270 -2790 3000 2759 20 22 
178166 0 0 0 0 0 0 12 2940 -2610 3000 2767 20 22 
178744 0 0 0 0 0 0 -19 2940 -2880 3000 2373 20 22 
179256 0 0 0 0 0 0 -1 3090 -2310 3000 2588 20 22 
179782 0 0 0 0 0 0 -3 2940 -2580 3000 2561 20 22 
180287 0 0 0 0 0 0 -6 3060 -2610 3000 2531 20 22 
180861 0 0 0 0 0 0 -14 2970 -2490 3000 2428 20 22 
181371 0 0 0 0 0 0 12 3030 -2460 3000 2767 20 22 
181918 0 0 0 0 0 0 -13 2940 -2700 3000 2437 20 22 
182426 0 0 0 0 0 0 -10 3060 -2460 3000 2476 20 22 
182992 0 0 0 0 0 0 -10 3000 -2430 3000 2472 20 22 
183496 0 0 0 0 0 0 -1 3000 -2520 3000 2586 20 22 
184000 0 0 0 0 0 0 9 2880 -2520 3000 2720 20 22 
184503 0 0 0 0 0 0 -66 3180 -2790 3000 1750 20 22 
185064 0 0 0 0 0 0 3 2910 -1650 3000 2631 20 22 
185574 0 0 0 0 0 0 -9 2970 -2610 3000 2469 20 22 
186136 0 0 0 0 0 0 -8 3000 -2610 3000 2471 20 22 
186647 0 0 0 0 0 0 7 2940 -2460 3000 2683 20 22 
187167 0 0 0 0 0 0 0 3120 -2700 3000 2584 20 22 
187675 0 0 0 0 0 0 10 2970 -2550 3000 2712 20 22 
188228 0 0 0 0 0 0 22 3030 -2670 3000 2867 20 22 
188753 0 0 0 0 0 0 31 2910 -2940 3000 2994 20 22 
189266 0 0 0 0 0 0 39 3030 -3120 2892 3000 20 22 
189785 0 0 0 0 0 0 38 2880 -2970 2896 3000 20 22 
190290 0 0 0 0 0 0 6 2880 -2970 3000 2704 20 22 
190795 0 0 0 0 0 0 -9 3060 -2670 3000 2503 20 22 
191301 0 0 0 0 0 0 -2 2970 -2490 3000 2583 20 22 
191871 0 0 0 0 0 0 28 2940 -2550 3000 2977 20 22 
192380 0 0 0 0 0 0 10 3210 -3090 3000 2755 20 22 
192922 0 0 0 0 0 0 -38 2820 -2670 3000 2132 20 22 
193426 0 0 0 0 0 0 -7 3000 -2070 3000 2523 20 22 
193931 0 0 0 0 0 0 -17 3120 -2520 3000 2398 20 22 
194435 0 0 0 0 0 0 -10 2940 -2430 3000 2476 20 22 
195003 0 0 0 0 0 0 -36 3060 -2490 3000 2140 20 22 
195513 0 0 0 0 0 0 -18 2910 -2100 3000 2362 20 22 
196067 0 0 0 0 0 0 1 2940 -2250 3000 2608 20 22 
196577 0 0 0 0 0 0 -19 3120 -2820 3000 2350 20 22 
197144 0 0 0 0 0 0 2 2940 -2310 3000 2628 20 22 
197645 0 0 0 0 0 0 -23 3030 -2580 3000 2288 20 22 
198175 0 0 0 0 0 0 -7 2940 -2340 3000 2490 20 22 
198747 0 0 0 0 0 0 0 3015 -2370 3000 2595 20 22 
199259 0 0 0 0 0 0 44 2985 -2640 2844 3000 20 22 
199784 0 0 0 0 0 0 -15 2820 -3030 3000 2401 20 22 
200290 0 0 0 0 0 0 -18 3030 -2580 3000 2354 20 22 
200796 0 0 0 0 0 0 -28 3060 -2130 3000 2222 20 22 
201307 0 0 0 0 0 0 -13 3000 -2250 3000 2403 20 22 
