time: 1038 ; d_psi: 32 ; rpm_l: 3120 ; rpm_r: -3690 ; rpm_lb: 2592 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 1542 ; d_psi: 28 ; rpm_l: 2730 ; rpm_r: -3000 ; rpm_lb: 2633 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2043 ; d_psi: 17 ; rpm_l: 2610 ; rpm_r: -2760 ; rpm_lb: 2767 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2548 ; d_psi: 11 ; rpm_l: 2580 ; rpm_r: -2820 ; rpm_lb: 2852 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3119 ; d_psi: 131 ; rpm_l: 2820 ; rpm_r: -2880 ; rpm_lb: 1337 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3627 ; d_psi: 24 ; rpm_l: 1470 ; rpm_r: -2940 ; rpm_lb: 2674 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4184 ; d_psi: 60 ; rpm_l: 2010 ; rpm_r: -2970 ; rpm_lb: 2210 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 4690 ; d_psi: 14 ; rpm_l: 2190 ; rpm_r: -3030 ; rpm_lb: 2787 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 5255 ; d_psi: 16 ; rpm_l: 2820 ; rpm_r: -2955 ; rpm_lb: 2760 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 5761 ; d_psi: 147 ; rpm_l: 2940 ; rpm_r: -2985 ; rpm_lb: 1114 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 6330 ; d_psi: 1 ; rpm_l: 1290 ; rpm_r: -3090 ; rpm_lb: 2941 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 6838 ; d_psi: -20 ; rpm_l: 2400 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2781 ; th_l: 22 ; th_r: 24
time: 7381 ; d_psi: -46 ; rpm_l: 3210 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 2457 ; th_l: 22 ; th_r: 24
time: 7885 ; d_psi: 5 ; rpm_l: 3270 ; rpm_r: -2340 ; rpm_lb: 2891 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 8387 ; d_psi: -55 ; rpm_l: 3240 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 2339 ; th_l: 22 ; th_r: 24
time: 8891 ; d_psi: 138 ; rpm_l: 3090 ; rpm_r: -2400 ; rpm_lb: 1224 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 9437 ; d_psi: -59 ; rpm_l: 1290 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2291 ; th_l: 22 ; th_r: 24
duration: 10 ; psi_bar: 90 ; spd: 3000
time: 0 ; d_psi: 9 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 2876 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 506 ; d_psi: -18 ; rpm_l: 4890 ; rpm_r: -5490 ; rpm_lb: 3000 ; rpm_rb: 2765 ; th_l: 22 ; th_r: 24
time: 1008 ; d_psi: -32 ; rpm_l: 4710 ; rpm_r: -4470 ; rpm_lb: 3000 ; rpm_rb: 2586 ; th_l: 22 ; th_r: 24
time: 1515 ; d_psi: 143 ; rpm_l: 3330 ; rpm_r: -2565 ; rpm_lb: 1202 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2019 ; d_psi: 149 ; rpm_l: 1260 ; rpm_r: -2535 ; rpm_lb: 1108 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2542 ; d_psi: 55 ; rpm_l: 270 ; rpm_r: -2640 ; rpm_lb: 2283 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3049 ; d_psi: 31 ; rpm_l: 870 ; rpm_r: -2760 ; rpm_lb: 2576 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3623 ; d_psi: -7 ; rpm_l: 2280 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2938 ; th_l: 22 ; th_r: 24
time: 4128 ; d_psi: -58 ; rpm_l: 3150 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2288 ; th_l: 22 ; th_r: 24
time: 4693 ; d_psi: -81 ; rpm_l: 3570 ; rpm_r: -2430 ; rpm_lb: 3000 ; rpm_rb: 1998 ; th_l: 22 ; th_r: 24
time: 5196 ; d_psi: -36 ; rpm_l: 3570 ; rpm_r: -1620 ; rpm_lb: 3000 ; rpm_rb: 2562 ; th_l: 22 ; th_r: 24
time: 5760 ; d_psi: -56 ; rpm_l: 3180 ; rpm_r: -2190 ; rpm_lb: 3000 ; rpm_rb: 2295 ; th_l: 22 ; th_r: 24
time: 6269 ; d_psi: -60 ; rpm_l: 3075 ; rpm_r: -2280 ; rpm_lb: 3000 ; rpm_rb: 2240 ; th_l: 22 ; th_r: 24
time: 6807 ; d_psi: -115 ; rpm_l: 3000 ; rpm_r: -2310 ; rpm_lb: 3000 ; rpm_rb: 1553 ; th_l: 22 ; th_r: 24
